nvcc -o k_means main.cu -std=c++17 -O3
./k_means
n,k,N,cpu_time[us],gpu_time[us]
1,1,1024,6,1041
8,1,1024,4,194
64,1,1024,35,405
256,1,1024,213,1784
1024,1,1024,883,7825
1,2,1024,3,179
8,2,1024,9,192
64,2,1024,84,406
256,2,1024,392,1786
1024,2,1024,1660,6725
1,8,1024,7,278
8,8,1024,24,192
64,8,1024,263,396
256,8,1024,1431,1871
1024,8,1024,6199,6582
1,16,1024,13,177
8,16,1024,44,195
64,16,1024,507,412
256,16,1024,2825,1787
1024,16,1024,12318,6657
1,64,1024,50,198
8,64,1024,161,211
64,64,1024,1929,431
256,64,1024,11159,1861
1024,64,1024,48631,6702
1,256,1024,201,499
8,256,1024,630,303
64,256,1024,7653,504
256,256,1024,44295,1962
1024,256,1024,194542,6921
1,1024,1024,785,284
8,1024,1024,2506,596
64,1024,1024,30458,514
256,1024,1024,177608,2031
1024,1024,1024,777358,7234
1,1,4096,13,255
8,1,4096,17,345
64,1,4096,135,4498
256,1,4096,849,31611
1024,1,4096,3585,187829
1,2,4096,11,362
8,2,4096,38,323
64,2,4096,336,3497
256,2,4096,1561,40286
1024,2,4096,6569,173072
1,8,4096,26,361
8,8,4096,99,321
64,8,4096,1053,4008
256,8,4096,5711,39796
1024,8,4096,24763,190304
1,16,4096,50,355
8,16,4096,177,323
64,16,4096,2006,2922
256,16,4096,11312,39821
1024,16,4096,49036,192334
1,64,4096,197,222
8,64,4096,644,346
64,64,4096,7711,3101
256,64,4096,44354,40168
1024,64,4096,194299,188707
1,256,4096,799,296
8,256,4096,2521,412
64,256,4096,30538,4073
256,256,4096,176833,39522
1024,256,4096,776982,170877
1,1024,4096,3151,364
8,1024,4096,10030,693
64,1024,4096,121730,2411
256,1024,4096,707274,40983
1024,1024,4096,3109293,166083
1,1,16384,52,392
8,1,16384,63,684
64,1,16384,546,5194
256,1,16384,3467,333704
1024,1,16384,14351,1576708
1,2,16384,43,477
8,2,16384,153,720
64,2,16384,1351,5500
256,2,16384,6324,342058
1024,2,16384,26403,1581752
1,8,16384,105,365
8,8,16384,400,728
64,8,16384,4209,5834
256,8,16384,22906,370734
1024,8,16384,98888,1630068
1,16,16384,202,355
8,16,16384,707,709
64,16,16384,8014,20523
256,16,16384,45010,345738
1024,16,16384,195843,1569700
1,64,16384,785,492
8,64,16384,2576,710
64,64,16384,30820,6781
256,64,16384,178250,327816
1024,64,16384,776814,1529634
1,256,16384,3193,378
8,256,16384,10080,803
64,256,16384,122256,12968
256,256,16384,710772,348142
1024,256,16384,3103631,1559615
1,1024,16384,12544,495
8,1024,16384,40200,1180
64,1024,16384,487015,6219
256,1024,16384,2850643,397191
1024,1024,16384,12407995,1579171
1,1,65536,208,840
8,1,65536,249,1566
64,1,65536,2257,296973
256,1,65536,13899,1788461
1024,1,65536,57357,7270452
1,2,65536,229,891
8,2,65536,602,1608
64,2,65536,5562,245556
256,2,65536,25499,1826745
1024,2,65536,105592,7484735
1,8,65536,475,812
8,8,65536,1573,1615
64,8,65536,17046,202028
256,8,65536,91604,1810895
1024,8,65536,395467,7411470
1,16,65536,866,819
8,16,65536,2837,1619
64,16,65536,32309,161940
256,16,65536,180406,1817953
1024,16,65536,782825,7495196
1,64,65536,3206,857
8,64,65536,10336,1674
64,64,65536,123262,134028
256,64,65536,712916,1759479
1024,64,65536,3106565,7398042
1,256,65536,12793,887
8,256,65536,40565,1884
64,256,65536,493708,140740
256,256,65536,2846166,1765357
1024,256,65536,12452275,7287168
1,1024,65536,50366,1034
8,1024,65536,160186,2512
64,1024,65536,1946453,176945
256,1024,65536,11421561,1768143
1024,1024,65536,49620829,7561031
1,1,262144,865,2068
8,1,262144,1394,4954
64,1,262144,9015,1352573
256,1,262144,55548,10647601
1024,1,262144,229825,43071694
1,2,262144,1306,21313
8,2,262144,2505,4886
64,2,262144,21617,1224259
256,2,262144,100290,10622225
1024,2,262144,421999,39225779
1,8,262144,2092,15072
8,8,262144,6547,5143
64,8,262144,68101,1112181
256,8,262144,368528,9584746
1024,8,262144,1664028,43073669
1,16,262144,3244,10465
8,16,262144,11484,5340
64,16,262144,128186,766111
256,16,262144,719497,9774516
1024,16,262144,3146884,42562335
1,64,262144,12579,15353
8,64,262144,41692,5355
64,64,262144,493196,856121
256,64,262144,2842484,9915536
1024,64,262144,12430346,42014743
1,256,262144,51484,15745
8,256,262144,162713,6132
64,256,262144,1957234,854025
256,256,262144,11390527,9057389
1024,256,262144,49682799,40543581
1,1024,262144,202010,11499
8,1024,262144,641727,7188
64,1024,262144,7814702,906269
256,1024,262144,45463743,10296313
1024,1024,262144,198612732,41657157
1,1,1048576,3478,19792
8,1,1048576,4812,19495
64,1,1048576,36059,5859767
