nvcc -o k_means main.cu -std=c++17 -O3
./k_means
n,k,N,cpu_time[us],gpu_time[us]
1,1,1024,6,382
8,1,1024,4,217
64,1,1024,34,471
256,1,1024,212,1852
1024,1,1024,889,7814
1,2,1024,20,2800
8,2,1024,345,11708
64,2,1024,1695,421
256,2,1024,6354,1805
1024,2,1024,14711,6638
1,8,1024,258,13248
8,8,1024,893,17098
64,8,1024,5318,493
256,8,1024,22967,1841
1024,8,1024,55631,6586
1,16,1024,427,16152
8,16,1024,1754,16104
64,16,1024,8011,399
256,16,1024,50723,1752
1024,16,1024,85601,6580
1,64,1024,884,7405
8,64,1024,3050,7998
64,64,1024,17316,407
256,64,1024,55561,1770
1024,64,1024,145666,6624
1,256,1024,1933,4074
8,256,1024,3770,2652
64,256,1024,38165,432
256,256,1024,88583,1788
1024,256,1024,387811,6799
1,1024,1024,1252,447
8,1024,1024,5012,1072
64,1024,1024,60838,515
256,1024,1024,354240,1890
1024,1024,1024,1551020,7257
1,1,4096,13,245
8,1,4096,15,333
64,1,4096,137,4440
256,1,4096,849,29616
1024,1,4096,3577,173284
1,2,4096,89,3410
8,2,4096,1422,15562
64,2,4096,21850,1392
256,2,4096,33152,29222
1024,2,4096,130797,176855
1,8,4096,1013,14983
8,8,4096,5075,23252
64,8,4096,62476,1331
256,8,4096,252648,26497
1024,8,4096,691541,155742
1,16,4096,2618,27633
8,16,4096,18417,47973
64,16,4096,84167,1450
256,16,4096,292854,23075
1024,16,4096,735900,121245
1,64,4096,7104,20337
8,64,4096,36451,27584
64,64,4096,201991,1206
256,64,4096,714084,23542
1024,64,4096,1941450,191854
1,256,4096,11610,9241
8,256,4096,42716,10752
64,256,4096,396495,1883
256,256,4096,3188585,33886
1024,256,4096,3875201,188273
1,1024,4096,27408,4889
8,1024,4096,69972,5298
64,1024,4096,729801,3364
256,1024,4096,2833354,42418
1024,1024,4096,6204136,155693
1,1,16384,51,356
8,1,16384,59,677
64,1,16384,541,5624
256,1,16384,3447,357798
1024,1,16384,14507,1555949
1,2,16384,528,7261
8,2,16384,4941,25503
64,2,16384,177497,5877
256,2,16384,488604,338294
1024,2,16384,3426359,1608733
1,8,16384,7478,44911
8,8,16384,99070,210704
64,8,16384,592505,11397
256,8,16384,2290422,385926
1024,8,16384,7314770,1540937
1,16,16384,34515,91356
8,16,16384,248767,227379
64,16,16384,1506933,6419
256,16,16384,4280026,284266
1024,16,16384,7826783,1486674
1,64,16384,52114,41480
8,64,16384,362385,130567
64,64,16384,3227789,5296
256,64,16384,5866894,320452
1024,64,16384,27969031,1580667
1,256,16384,114572,24181
8,256,16384,686909,71605
64,256,16384,3782610,6280
256,256,16384,17065862,327319
1024,256,16384,65112479,1544418
1,1024,16384,280322,17895
8,1024,16384,839753,22906
64,1024,16384,7297534,10957
256,1024,16384,42529154,357458
1024,1024,16384,74356818,1587619
1,1,65536,207,959
8,1,65536,246,1714
64,1,65536,2255,281400
256,1,65536,13807,1760995
1024,1,65536,56985,7489134
1,2,65536,3104,23376
8,2,65536,27975,49653
64,2,65536,521885,224109
256,2,65536,6199683,1758225
1024,2,65536,22323242,7511015
1,8,65536,40907,129458
8,8,65536,363742,413002
64,8,65536,8439612,280495
256,8,65536,32938444,1801688
1024,8,65536,70711787,7513135
1,16,65536,194875,300996
8,16,65536,557958,305794
64,16,65536,19334300,158833
256,16,65536,35833509,1835413
1024,16,65536,90665948,7267570
1,64,65536,323877,150961
8,64,65536,1102226,164521
64,64,65536,28164326,283169
256,64,65536,89494266,1767844
1024,64,65536,221126942,7469687
1,256,65536,1655781,181300
8,256,65536,4758107,199837
64,256,65536,60158723,197791
256,256,65536,161716629,1842420
